"用例编号","一级分类","二级模块","用例名称","优先级","前置条件","测试步骤","预期结果"
"OTHER-CLI-03","其他功能测试","命令行工具（OTHER-CLI）","serve.js 缓存头策略","P1","服务已启动","1) 请求 `index.html` 与 `app.js`；2) 请求任一 `.jpg`","1) 响应头为 `no-store, must-revalidate`（改文件后刷新立即可见）；2) 图片为 `public, max-age=3600`"
"OTHER-CLI-04","其他功能测试","命令行工具（OTHER-CLI）","serve.js 404 与目录穿越防护","P1","服务已启动","1) 访问不存在的路径；2) 构造 `../` 越界请求","1) 返回 404 且响应体为「404 <path>」；2) 返回 403 forbidden，不泄露上级目录文件"
"OTHER-CLI-05","其他功能测试","命令行工具（OTHER-CLI）","content-check.js 全量通过","P0","项目根目录","执行 `node content-check.js`","输出各表条数与汇总「知识点 224 条 · 问答 432 题 · 参考图 594 张 · 术语 139 条」，打印「⚠️ 提示 1 条（钣金折弯的回弹控制 标了待定）」，最后「✓ 全部通过」，退出码 0"
"OTHER-CLI-06","其他功能测试","命令行工具（OTHER-CLI）","content-check.js 报错能力","P0","临时备份某数据文件","故意把某条知识点的 `cat` 改成不存在的分类（或删掉必填字段），执行脚本后还原文件","输出「❌ 发现 N 个问题（前 40 条）」并逐条指出表名、条目、字段，**退出码 1**（可用 `echo $?` 验证）"
"OTHER-CLI-07","其他功能测试","命令行工具（OTHER-CLI）","content-check.js 不写文件","P2","执行前后对比","执行脚本，比对目录文件与 mtime","无任何文件被创建或修改（脚本只读）"
"OTHER-CLI-08","其他功能测试","命令行工具（OTHER-CLI）","qa-check.js 全量通过","P0","项目根目录","执行 `node qa-check.js`","按 12 个领域列出题数（43/38/36/35×9），输出「合计 432 问」与「✓ 全部通过」，退出码 0"
"OTHER-CLI-09","其他功能测试","命令行工具（OTHER-CLI）","qa-check.js 规则有效性","P1","临时备份 `data/qa-material.js`","逐项构造：选项文本重复、答案下标越界、`w` 长度与 `opts` 不等、`w[a]` 非空、题干重复、`exp` 少于 40 字，每次执行脚本后还原","前 5 项报错误并 exit 1；`exp` 过短只报「可能过短（讲原理而不是复述答案）」警告，不判错"
"OTHER-CLI-10","其他功能测试","命令行工具（OTHER-CLI）","两个脚本的分工边界","P2","同一次改动","用同一个错误分别跑两个脚本","`qa-check.js` 报得更细（逐题字段）；`content-check.js` 覆盖全部内容类型（含跨表引用），两者结论一致"
"OTHER-PWA-01","其他功能测试","PWA 与缓存（OTHER-PWA）","manifest 生效","P1","通过 http(s) 访问","1) DevTools → Application → Manifest；2) 查看安装提示","manifest 正常解析：名称为「结构工程师知识库 · 塑料灯具结构设计」/ short_name「结构知识库」，`display: standalone`，theme_color `#2563eb`，图标 192/512（含 maskable）加载成功"
"OTHER-PWA-02","其他功能测试","PWA 与缓存（OTHER-PWA）","SW 注册条件","P1","三种访问方式","1) 通过 127.0.0.1 访问；2) 通过 `file://` 双击打开；3) 通过局域网 IP 访问","1) SW 注册成功（Application → Service Workers 显示 activated）；2) **不注册**（file:// 直接 return，且无报错）；3) 非 https 且非 localhost，不注册"
"OTHER-PWA-03","其他功能测试","PWA 与缓存（OTHER-PWA）","预缓存清单","P1","SW 已激活","查看 Cache Storage `struct-kb-v24`","包含 21 项：`./`、`index.html`、`site.css`、`app.js`、15 个 `data/*.js`、`images/qr-site.svg`、`favicon.svg`"
"OTHER-PWA-04","其他功能测试","PWA 与缓存（OTHER-PWA）","数据文件更新立即生效","P0","SW 已激活","修改 `data/items.js` 中某条文案后刷新页面","页面立即显示新文案（脚本/数据走 network-first + `no-cache`），不出现「改了看不到」"
"OTHER-PWA-05","其他功能测试","PWA 与缓存（OTHER-PWA）","图片缓存优先","P2","SW 已激活","1) 首次加载某图片；2) 断网后刷新该图片所在页面","1) 图片被写入缓存；2) 断网时图片仍能显示（cache-first 命中）"
"OTHER-PWA-06","其他功能测试","PWA 与缓存（OTHER-PWA）","离线首屏可用","P1","已在线访问过一次并等 SW 装好","1) DevTools 切 Offline；2) 硬刷新首页；3) 进入知识库/速查手册","1) 首屏可正常打开（回退缓存或 `./index.html`）；2) 已预缓存模块可用；进入**未被缓存过**的模块（如未访问过的 STEP/原理问答）会失败或提示加载中，符合预期"
"OTHER-PWA-07","其他功能测试","PWA 与缓存（OTHER-PWA）","版本更新清理旧缓存","P1","SW 已激活","把 `sw.js` 中 `CACHE` 版本号改为 `struct-kb-v25` 后刷新两次","新缓存建立，`struct-kb-v24` 被 activate 阶段删除；页面功能正常"
"OTHER-PWA-08","其他功能测试","PWA 与缓存（OTHER-PWA）","跨域请求不接管","P2","SW 已激活","打开含 B 站视频链接的详情，点击跳转；观察不蒜子统计脚本","跨域请求不被 SW 拦截（不受离线策略影响），外链正常打开"
"FULL-SMK-01","全功能测试","全模块冒烟回归（FULL-SMK）","知识库冒烟","P0","首屏","首页 → 进「材料应用」→ 点第 1 行开详情 → 关闭","三视图切换正常，领域 49 条，详情可开关"
"FULL-SMK-02","全功能测试","全模块冒烟回归（FULL-SMK）","原理问答冒烟","P0","首屏","进原理问答 → 切「结构设计」→ 展开/收起一条解析","显示 43 问，解析按钮文案切换正常"
"FULL-SMK-03","全功能测试","全模块冒烟回归（FULL-SMK）","选型决策冒烟","P1","首屏","进选型决策 → 选到结论 → 返回上一步","步进与回退正常，结论含推荐理由"
"FULL-SMK-04","全功能测试","全模块冒烟回归（FULL-SMK）","公式速查冒烟","P1","首屏","进公式速查 → 切 3 个分类 → 搜索一个词","分类条数正确，搜索有结果"
"FULL-SMK-05","全功能测试","全模块冒烟回归（FULL-SMK）","速查手册冒烟","P1","首屏","进速查手册 → 切 3 张表 → 搜索一个词","17 张表可切，行过滤生效"
"FULL-SMK-06","全功能测试","全模块冒烟回归（FULL-SMK）","检查清单冒烟","P1","首屏","进检查清单 → 勾选 2 项 → 切另一张清单","进度联动，切换正常，勾选互不干扰"
"FULL-SMK-07","全功能测试","全模块冒烟回归（FULL-SMK）","实战模板冒烟","P1","首屏","进实战模板 → 切 2 份 → 在 info 填一个字","内容各自保留，输入可保存"
"FULL-SMK-08","全功能测试","全模块冒烟回归（FULL-SMK）","整机案例冒烟","P1","首屏","进整机案例 → 切 3 款","每款内容完整渲染，切 tab 回顶"
"FULL-SMK-09","全功能测试","全模块冒烟回归（FULL-SMK）","术语词典冒烟","P1","首屏","进术语词典 → 切 2 个分类 → 搜索","139 条，分类与搜索正常"
"FULL-SMK-10","全功能测试","全模块冒烟回归（FULL-SMK）","参考图库冒烟","P1","首屏","进参考图库 → 加载更多 1 次 → 点图开灯箱","图片从 60 增至 120，灯箱正常"
"FULL-SMK-11","全功能测试","全模块冒烟回归（FULL-SMK）","实战宝典冒烟","P1","首屏","进实战宝典 → 切 4 个分类","30/35/35/72 条完整，无空白组"
"FULL-SMK-12","全功能测试","全模块冒烟回归（FULL-SMK）","知识点对比冒烟","P1","首屏","进对比 → 点一个预设 → 点标题开详情","两侧切换，详情可打开"
"FULL-SMK-13","全功能测试","全模块冒烟回归（FULL-SMK）","STEP 成本评估冒烟","P2","已补 `vendor/`","进 STEP → 拖入样例文件 → 查看成本卡","解析成功，成本卡与模具方案渲染（当前缺引擎时按 OTHER-STEP-01 判定）"
"FULL-SMK-14","全功能测试","全模块冒烟回归（FULL-SMK）","我的收藏冒烟","P1","首屏","进我的收藏 → 切 3 个页签","三页签数据与空态正确，无报错"
"FULL-E2E-01","全功能测试","端到端场景链路（FULL-E2E）","学习闭环：查→读→记→存","P0","清空 localStorage","首页 → 领域「结构设计」→ 用关键词「卡扣」搜到条目 → 打开详情 → 收藏 + 标疑问 + 写笔记 → 进我的收藏核对 → 刷新页面","全链路无断点；收藏/疑问/笔记三处数据一致且刷新后保留；角标正确"
"FULL-E2E-02","全功能测试","端到端场景链路（FULL-E2E）","全站搜索发散链路","P1","首屏","搜索「UL94」→ 逐个进入至少 3 个分组的模块（如标准清单、术语、速查手册）","每次跳入的模块与关键词一致，模块内搜索框已带入关键词，能继续深挖"
"FULL-E2E-03","全功能测试","端到端场景链路（FULL-E2E）","工艺线链路","P1","首屏","首页点「钣金冲压」工艺卡 → 切维度「制造约束与注意事项」→ 点某条目详情 → 从详情关联跳到另一条 → 用「返回」回首页","工艺筛选、维度筛选、详情、关联跳转、返回全部正常，状态无残留"
"FULL-E2E-04","全功能测试","端到端场景链路（FULL-E2E）","出题链路：题库深挖","P1","首屏","进原理问答 → 难度筛「易错」→ 切「光学结构」→ 展开 3 道解析 → 复制某题深链 → 新标签打开","筛选叠加正确；深链在新标签直达该题并定位所在领域"
"FULL-E2E-05","全功能测试","端到端场景链路（FULL-E2E）","选型到知识链路","P1","首屏","进选型决策 → 走「选材料」到结论 → 点结论中的知识点 chip → 详情关联继续跳 2 次","每次跳转内容正确，面板不关闭、内容替换并回顶"
"FULL-E2E-06","全功能测试","端到端场景链路（FULL-E2E）","内容维护闭环（后台→前台）","P0","有 admin 与 node 环境","后台改「ABS」核心要点 → 校验 → 导出 `items.js` → 覆盖 `data/items.js` → 前台刷新查看","前台立即显示新文案；`node content-check.js` 仍「✓ 全部通过」"
"FULL-E2E-07","全功能测试","端到端场景链路（FULL-E2E）","改名联动闭环","P1","承 E2E-06","后台把「ABS」改名为「ABS 塑料」并选择「连同引用一起改」→ 导出相关文件 → 覆盖 → 前台检查","列表、详情、关联 chip、侧表键全部为新名；`content-check.js` 无悬挂引用"
"FULL-E2E-08","全功能测试","端到端场景链路（FULL-E2E）","成本评估闭环","P2","已补 `vendor/`","拖入装配体 → 配置共模 → 生成成本 → 保存方案 → 存台账 → 打印报价单 → 导出 CSV/JSON","各环节数据自洽（台账成本 = 报价单单件成本），导出文件可用"
"FULL-DAT-01","全功能测试","数据完整性与一致性（FULL-DAT）","知识点总量与唯一性","P0","—","统计 `KB_ITEMS`","共 **224** 条，`name` 全部唯一（无重复），无空名、无空 `points`/`usage`"
"FULL-DAT-02","全功能测试","数据完整性与一致性（FULL-DAT）","领域数与领域条数","P0","—","统计 12 个领域的条目数","材料应用 49 / 成型与加工 25 / 模具与DFM 14 / 结构设计 43 / 工程制图与公差 10 / 表面处理 10 / 光学设计 14 / 散热设计 15 / 安规认证 14 / 测试验证 10 / 包装与物流 8 / 成本与量产 12，合计 224"
"FULL-DAT-03","全功能测试","数据完整性与一致性（FULL-DAT）","分类与优先级分布","P1","—","统计 `cat` 与 `lv` 分布","15 个分类，条数为 mat 26 / proc 14 / struct 33 / fasten 10 / mold 14 / metal 23 / sheet 11 / sf 10 / drawing 10 / optic 14 / thermal 15 / safety 14 / test 10 / pack 8 / cost 12；优先级 lv1 65 / lv2 116 / lv3 43"
"FULL-DAT-04","全功能测试","数据完整性与一致性（FULL-DAT）","工艺分布","P1","—","统计 `proc` 分布","inj 136 / common 59 / sheet 19 / diecast 6 / extrude 4，合计 224；无非法工艺 id"
"FULL-DAT-05","全功能测试","数据完整性与一致性（FULL-DAT）","侧表覆盖率","P0","—","统计 5 张侧表对 224 条的覆盖","`KB_DEEP` 224、`KB_NUM` 218、`KB_REL` 215、`KB_MEMO` 215、`KB_TASK` 215；未覆盖条目集中于钣金/压铸/挤压（9 条），属已知内容缺口，不得少于上述数字"
"FULL-DAT-06","全功能测试","数据完整性与一致性（FULL-DAT）","侧表引用零悬挂","P0","—","校验侧表与引用表","`KB_REL` 的键与值（782 个）全部存在于 `KB_ITEMS`；`KB_IMG` 键 ∈ `KB_ITEMS`；`KB_USAGE` 键 ∈ `KB_ITEMS`；0 悬挂"
"FULL-DAT-07","全功能测试","数据完整性与一致性（FULL-DAT）","图库覆盖与序号不变式","P1","—","校验 `KB_IMG`","198 个键、每键恰好 3 条、合计 594；第 N 个键（1-based）对应 `images/ref/{N:03d}_1..3.jpg`，198/198 全部成立"
"FULL-DAT-08","全功能测试","数据完整性与一致性（FULL-DAT）","题库总量与领域分布","P0","—","运行 `node qa-check.js`","共 432 题；43/38/36/35×9；题干全局唯一；题目 id 唯一"
"FULL-DAT-09","全功能测试","数据完整性与一致性（FULL-DAT）","题库字段规范性","P0","—","校验每题字段","`lv` ∈ {基础,进阶,易错}（147/208/77）；`t` ∈ {choice,tf,calc,scene}（缺省 choice）；`opts` 长度 2 或 4（2 对应 24 道判断题）；`a` 为合法下标且分布 0:54 / 1:324 / 2:49 / 3:5；`w` 与 `opts` 等长；`w[a]` 为空串、其余项非空；`exp` ≥ 40 字"
"FULL-DAT-10","全功能测试","数据完整性与一致性（FULL-DAT）","速查表行宽一致","P1","—","校验 `KB_QUICK` + `KB_QUICK_ADD`","17 张表 232 行 + 补充 35 行 = 267 行；每行单元格数严格等于该表 `cols` 长度（0 例外）"
"FULL-DAT-11","全功能测试","数据完整性与一致性（FULL-DAT）","检查清单项数与自述一致","P1","—","解析 `KB_CHECKS`","5 份 114 项；每份 `desc` 中写明的项数与实际 `sum(groups[].items.length)` 完全一致（31/23/22/20/18）"
"FULL-DAT-12","全功能测试","数据完整性与一致性（FULL-DAT）","公式与单位条数","P1","—","统计 `KB_FORMULA` / `KB_UNIT`","公式 7 类 42 条；单位 7 类 41 条；每条公式含名称/表达式/单位/变量说明/使用场景"
"FULL-DAT-13","全功能测试","数据完整性与一致性（FULL-DAT）","术语键全等","P1","—","比对 `KB_GLOSS.en` 与 `KB_GLOSS_USE` 键","各 139，集合完全相等（无多余、无缺失）"
"FULL-DAT-14","全功能测试","数据完整性与一致性（FULL-DAT）","案例与 DFM 对应","P2","—","比对 `KB_CASES[].id` 与 `KB_CASE_DFM` 键","各 6 个，集合相等；DFM 合计 45 条（7/7/8/7/8/8）"
"FULL-DAT-15","全功能测试","数据完整性与一致性（FULL-DAT）","模板结构","P2","—","统计 `KB_TEMPLATE`","4 份、11 个块；info 字段 21 个；fill/table 行 73 行"
"FULL-DAT-16","全功能测试","数据完整性与一致性（FULL-DAT）","选型树无悬挂","P1","—","遍历 `KB_SELECT`","5 棵树 81 节点（mat 24 / proc 15 / sf 17 / fasten 13 / thermal 12）；每棵树 `start` 节点存在；所有 `opts[].go` 指向同一棵树内已存在的节点（0 悬挂）；结论的 `ref` 全部命中 `KB_ITEMS`"
"FULL-DAT-17","全功能测试","数据完整性与一致性（FULL-DAT）","同义词组有效性","P2","—","统计 `KB_SYN`","340 组、1236 个词；每组首元素为词头；无空组、无空词"
"FULL-DAT-18","全功能测试","数据完整性与一致性（FULL-DAT）","更新日志形态","P2","—","检查 `KB_CHANGELOG`","13 条，按日期降序；每条含日期、标题、条目列表；日期允许重复（同日多条），不得出现未来日期"
"FULL-DAT-19","全功能测试","数据完整性与一致性（FULL-DAT）","界面数字与数据一致","P0","—","对比首页统计、模块描述、导航角标、打印页脚、速查表计数与数据实测值","全部一致（224 / 594 / 17 / 139 / 432 / 42 / 41 / 30 / 35 / 72 / 4 / 6 / 5）；`syncCounts()` 校正后的数字不得出现旧值 214/198"
"FULL-DAT-20","全功能测试","数据完整性与一致性（FULL-DAT）","校验脚本双通过","P0","—","依次执行 `node content-check.js`、`node qa-check.js`","两者均「✓ 全部通过」且退出码 0；content-check 的「⚠️ 提示」仅 1 条（待定条目）"
"FULL-LNK-01","全功能测试","跨模块联动（FULL-LNK）","首页总览格 → 模块","P1","首页","点「内容总览」中「检查项」","进入检查清单模块，选中态与导航同步"
"FULL-LNK-02","全功能测试","跨模块联动（FULL-LNK）","首页工艺卡 → 工艺页","P0","首页","点「塑料成型」卡","进入塑料成型工艺页，136 条，工艺行「塑料成型」高亮"
"FULL-LNK-03","全功能测试","跨模块联动（FULL-LNK）","首页领域卡 → 领域视图","P0","首页","点「光学设计」卡","进入光学设计领域，14 条"
"FULL-LNK-04","全功能测试","跨模块联动（FULL-LNK）","详情关联 → 详情","P0","任一详情打开","点关联 chip 连跳 3 次","每次内容替换、面板不关闭、正文回顶；`‹ 上一条` 可回退"
"FULL-LNK-05","全功能测试","跨模块联动（FULL-LNK）","工艺页 → 实战宝典","P1","工艺页","点底部「缺陷排查 · 注塑缺陷排查」类 chip","跳到实战宝典并切到对应分类与分组，滚动到该组"
"FULL-LNK-06","全功能测试","跨模块联动（FULL-LNK）","全站搜索分组 → 模块","P1","搜索结果页","点某分组标题右侧「进入模块查看全部 →」","进入对应模块，且该模块搜索框带入关键词"
"FULL-LNK-07","全功能测试","跨模块联动（FULL-LNK）","搜索命中单题 → 定位","P2","搜索结果含原理问答命中","点该题","进入原理问答并滚动定位到该题"
"FULL-LNK-08","全功能测试","跨模块联动（FULL-LNK）","图库标题 → 知识点","P1","参考图库","点某图下方条目名","打开该知识点详情（不放大图片）"
"FULL-LNK-09","全功能测试","跨模块联动（FULL-LNK）","我的常用 → 模块","P2","首页","点常用项中的「检查清单」","进入检查清单"
"FULL-LNK-10","全功能测试","跨模块联动（FULL-LNK）","收藏页 → 详情","P1","收藏页有数据","点某条收藏","打开该条详情，可继续收藏/笔记操作"
"FULL-DEEP-01","全功能测试","深链与 URL（FULL-DEEP）","直达知识点","P0","无","打开 `?mod=kb&item=卡扣设计`","自动切到该条所属领域，约 90ms 后自动打开该条详情"
"FULL-DEEP-02","全功能测试","深链与 URL（FULL-DEEP）","直达领域","P1","无","打开 `?mod=kb&dom=material`","直接进入「材料应用」领域视图"
"FULL-DEEP-03","全功能测试","深链与 URL（FULL-DEEP）","直达工艺 + 维度","P1","无","打开 `?proc=sheet&dim=material`","进入钣金冲压工艺页并选中「材料特性」维度"
"FULL-DEEP-04","全功能测试","深链与 URL（FULL-DEEP）","直达速查表","P1","无","打开 `?mod=quick&id=thread`","进入速查手册并选中「螺纹与底孔速查」"
"FULL-DEEP-05","全功能测试","深链与 URL（FULL-DEEP）","直达案例/模板/清单/宝典","P2","无","依次打开 `?mod=case&id=nightlight`、`?mod=tpl&id=npi`、`?mod=check&id=dfm`、`?mod=field&id=std`","分别落到对应条目的内容上，选中态正确"
"FULL-DEEP-06","全功能测试","深链与 URL（FULL-DEEP）","直达问答领域与单题","P2","无","打开 `?mod=qa&id=material`，再打开 `?mod=qa&q=<题目id>`","前者切到塑料材料领域；后者定位到该题"
"FULL-DEEP-07","全功能测试","深链与 URL（FULL-DEEP）","非法参数不跳转","P1","无","打开 `?mod=notexist` 与 `?mod=kb&item=不存在的条目`","前者不跳转、停留首页且不报错；后者不打开详情（或安全降级到所属领域），页面正常"
"FULL-DEEP-08","全功能测试","深链与 URL（FULL-DEEP）","复制链接三处一致","P1","详情/速查表","三个「复制链接」入口各复制一次并比对","生成的 URL 均为 `origin + pathname + ?mod=…` 形式，粘贴后指向同一内容"
"FULL-DEEP-09","全功能测试","深链与 URL（FULL-DEEP）","导航不写 URL 与刷新行为","P2","首屏","1) 点导航进入「术语词典」；2) 按 F5","1) 地址栏不变（导航只改内存状态）；2) 刷新后回到首页/URL 中参数对应的状态，不保留刚才的模块"
"FULL-RSP-01","全功能测试","响应式与兼容性（FULL-RSP）","超宽屏","P2","窗口 ≥1600px","查看首页与列表","容器放宽到 1480px，排版不出现过宽拉伸，卡片不空散"
"FULL-RSP-02","全功能测试","响应式与兼容性（FULL-RSP）","桌面标准宽度","P1","1440×900","浏览全部 14 个模块","布局正常，无横向滚动条，无文字截断"
"FULL-RSP-03","全功能测试","响应式与兼容性（FULL-RSP）","平板宽度","P1","1024×768","浏览首页与三步模块","首页面板不挤，STEP/对比等宽区不发生重叠"
"FULL-RSP-04","全功能测试","响应式与兼容性（FULL-RSP）","窄屏（≤900px）","P1","900px 宽","查看首页面板与 STEP 布局","首页面板改单列、STEP 网格改单列，元素不重叠"
"FULL-RSP-05","全功能测试","响应式与兼容性（FULL-RSP）","手机宽度（≤760px）","P0","375×667","1) 打开速查手册宽表；2) 打开知识点对比","1) 表格可横向滑动且首列固定，出现横滑提示；2) 对比改为单列堆叠"
"FULL-RSP-06","全功能测试","响应式与兼容性（FULL-RSP）","手机导航（≤640px）","P1","375×667","1) 查看导航行；2) 点击靠后的模块（如 STEP）","1) 导航行改为横向滚动，分组标签吸附左侧，角标隐藏；2) 被点中的 tab 自动滚动到可视区中央"
"FULL-RSP-07","全功能测试","响应式与兼容性（FULL-RSP）","触控目标尺寸","P2","375×667","抽查导航 tab、按钮、页签高度","触控高度约 40px，不出现难以点击的小目标"
"FULL-RSP-08","全功能测试","响应式与兼容性（FULL-RSP）","降低动效偏好","P2","系统开启「减少动态效果」","浏览页面与切换模块","动效被弱化/关闭（`prefers-reduced-motion`），内容仍完整可用"
"FULL-PRF-01","全功能测试","性能与稳定性（FULL-PRF）","首屏加载","P1","本地服务、冷缓存","记录首次加载到首页可交互的时间","首屏（不含懒加载模块）在本地服务下 < 2s，网络面板无 404"
"FULL-PRF-02","全功能测试","性能与稳定性（FULL-PRF）","模块切换响应","P1","首屏后","连续切换 14 个模块各一次","每次切换的视图渲染 < 300ms，无可感知卡顿"
"FULL-PRF-03","全功能测试","性能与稳定性（FULL-PRF）","搜索响应","P1","知识库首页","连续输入 5 组关键词","每次结果渲染 < 300ms，无输入卡顿（无长任务 > 1s）"
"FULL-PRF-04","全功能测试","性能与稳定性（FULL-PRF）","大列表渲染","P1","原理问答已加载","切到 432 题「全部」并展开多个解析","渲染完成 < 2s，滚动流畅；展开/收起不引发整页重排卡顿"
"FULL-PRF-05","全功能测试","性能与稳定性（FULL-PRF）","图库分页加载","P2","参考图库","连续点「加载更多」直到 594 张","每批加载流畅，图片懒加载不阻塞交互，无内存暴涨"
"FULL-PRF-06","全功能测试","性能与稳定性（FULL-PRF）","懒加载时机","P1","冷启动","观察首屏后 600ms 的网络请求","只预取 `step` 相关资源，不预取 12 个 `qa-*.js`（进入问答时才加载）"
"FULL-PRF-07","全功能测试","性能与稳定性（FULL-PRF）","长时间使用稳定性","P2","首屏","连续操作 20 分钟（浏览/搜索/答题/切换模块/开合详情 100 次以上）","无内存持续增长导致的卡顿崩溃；Console 无异常累积；本地存储无异常膨胀"
"FULL-ST-01","全功能测试","存储与状态（FULL-ST）","存储键写入正确","P0","清空 localStorage","依次操作：切主题、选工艺、收藏、写笔记、标疑问、勾选清单、选对比项、填模板、搜索回车","依次出现 `kb-theme-v1`、`kb-proc-v1`、`kb-fav-v1`、`kb-note-v1`、`kb-doubt-v1`、`kb-check-v2`、`kb-compare-v1`、`kb-tpl-v1`、`kb-search-v1`；键名与附录 B 一致"
"FULL-ST-02","全功能测试","存储与状态（FULL-ST）","数据格式可读","P2","已有上述数据","查看各键的值","结构符合预期（如 `kb-fav-v1` 为 `{条目名: 时间戳}`、`kb-recent-v1` 为 `[{n,t}]`），非压缩/加密导致无法排查"
"FULL-ST-03","全功能测试","存储与状态（FULL-ST）","刷新与重开保持","P0","完成 ST-01","刷新页面、关闭浏览器重开","全部个人数据保留，界面状态与刷新前一致（主题、工艺、清单勾选、模板内容）"
"FULL-ST-04","全功能测试","存储与状态（FULL-ST）","清空后降级正常","P0","有个人数据","执行 `localStorage.clear()` 后刷新","页面正常，全部功能回到初始状态（默认浅色、无收藏/笔记、清单未勾选），空态文案正确"
"FULL-ST-05","全功能测试","存储与状态（FULL-ST）","存储配额受限时行为","P1","用脚本把 localStorage 填满","收藏一条、写一条长笔记、勾选清单","页面不崩溃（写入 try/catch 静默失败）；**已知**：配额满时无任何提示，表现为「填了但刷新就没了」——按 GN-05 判定"
"FULL-ST-06","全功能测试","存储与状态（FULL-ST）","多标签页一致性","P2","打开两个同源标签","在标签 A 收藏一条，在标签 B 打开收藏页","当前实现为内存态 + 即时落盘，标签 B 不自动同步（需刷新）；刷新后数据一致。记录实际行为并确认无数据覆盖丢失"
"FULL-ST-07","全功能测试","存储与状态（FULL-ST）","隐私模式可用性","P1","浏览器无痕窗口","完整走一遍核心链路（浏览/搜索/收藏/笔记）","功能可用（localStorage 可用时正常；不可用时静默降级不崩溃）"
"FULL-ST-08","全功能测试","存储与状态（FULL-ST）","无全局导入导出（现状确认）","P2","任意状态","查找「导出备份 / 导入恢复」入口","主应用不提供全局 JSON 备份/恢复（仅 STEP 模块有 CSV/JSON/打印导出与单价库导入）；确认无入口即为通过，如有入口则需补测往返一致性"
"FULL-ERR-01","全功能测试","异常与容错（FULL-ERR）","图片 404","P1","临时重命名某个 `images/coreNN.jpg`","刷新并打开对应条目","页面不崩溃、不阻塞其它内容渲染（当前无 `onerror` 兜底，会出现裂图/空白 — 按 GN-08 判定）"
"FULL-ERR-02","全功能测试","异常与容错（FULL-ERR）","数据文件缺失","P1","临时移除 `data/gloss.js`","刷新后进入术语词典","页面主流程可用；术语模块给出空态或加载失败提示，不白屏（Console 有脚本 404 属预期）"
"FULL-ERR-03","全功能测试","异常与容错（FULL-ERR）","懒加载失败","P1","DevTools 屏蔽 `data/qa-*.js`","进入原理问答","显示加载提示后保持「正在加载…」类空态，不抛未捕获异常；恢复网络后重进可正常加载"
"FULL-ERR-04","全功能测试","异常与容错（FULL-ERR）","`KB_IMG` 缺失","P2","临时移除图片数据","刷新","详情与图库按无图降级，不出现 `undefined` 文案"
"FULL-ERR-05","全功能测试","异常与容错（FULL-ERR）","断网后浏览已缓存内容","P1","已访问过首页与知识库","切 Offline 后继续浏览知识库、打开详情","已缓存内容可用；未缓存资源请求失败但不崩溃"
"FULL-ERR-06","全功能测试","异常与容错（FULL-ERR）","非法深链参数","P1","无","依次打开 `?mod=`、`?mod=kb&item=`、`?proc=xxx`、`?mod=qa&q=xxx`","均安全降级到首页/默认视图，无异常、无空白页"
"FULL-ERR-07","全功能测试","异常与容错（FULL-ERR）","特殊字符与超长输入","P2","知识库首页","1) 搜索 `<img src=x onerror=alert(1)>`；2) 搜索 2000 字长串；3) 笔记中输入 HTML 标签","1) 不作为 HTML 执行（`esc()` 转义），无弹窗；2) 不卡死，给出无结果或结果；3) 笔记按纯文本显示"
"FULL-ERR-08","全功能测试","异常与容错（FULL-ERR）","模板填写含换行与 emoji","P2","实战模板","在单元格输入多行文本与 emoji 后刷新","内容保留（无截断、无编码错乱），打印输出正常"
"FULL-ERR-09","全功能测试","异常与容错（FULL-ERR）","清单勾选键异常","P2","手工把 `kb-check-v2` 改成非法 JSON","刷新并进入检查清单","不崩溃，勾选状态按空处理（可重新勾选）"
"FULL-ERR-10","全功能测试","异常与容错（FULL-ERR）","后台导入非法文件","P2","admin 已打开","导入一个非法 JSON / 非项目 JS / 空文件","分别提示「这不是本项目的导出文件」/「文件里的 JSON 解析失败：…」，后台数据不被破坏"
